1,Sri Venkateshwara Temple,Andhra Pradesh,South,./pics/thirupathi.jpg
2,Kanaka Durga Temple,Andhra Pradesh,South,./pics/vijayawada.jpg
3,Mallikarjuna Swamy Temple ,Andhra Pradesh,South,./pics/srishailam.jpg
4,Tawang Monastery,Arunachal Pradesh,South,./pics/tawang.jpg
5,Asvakranta Temple,Assom,East,./pics/asvakranta.jpg
6,Kamakhya Temple,Assom,East,./pics/kamakhya.jpg
7,Bageshwari Temple,Assom,East,./pics/bageshwari.jpg
8,Mahabodhi Temple,Bihar,North,./pics/bodh.jpg
9,Vishnupad Mandir,Bihar,North,./pics/vishnu.jpg
10,Mangala Gowri Temple,Bihar,North,./pics/gauri.jpg
11,Bhoramdev Temple,Chhattisgarh,Central,./pics/bhoramdev.jpg
12,Shri Danteshwari Temple,Chhattisgarh,Central,./pics/dantesh.jpg
13,Banjari Mata Temple,Chhattisgarh,Central,./pics/banjari.jpg
14,Shree Mangesh Temple,Goa,West,./pics/mangesh.jpg
15,Shanta Durga Temple,Goa,West,./pics/shanta.jpg
16,"Mahadev Temple, Goa",Goa,West,./pics/mahadev.jpg
17,Somnath Temple,Gujarat,West,./pics/somnath.jpg
18,Dwarkadhish Temple,Gujarat,West,./pics/dwaraka.jpg
19,Swaminarayan Akshardham Temple,Gujarat,West,./pics/akshardham.jpg
20,Kartikeya Temple,Haryana,North,./pics/karthikeya.jpg
21,shri devikoop bhadrakali mandir,Haryana,North,./pics/devikoop.jpg
22,Agroha Dham,Haryana,North,./pics/agroha.jpg
23,Sankat Mochan Temple,Himachal Pradesh,North,./pics/sankat.jpg
24,Hidimba Devi Temple,Himachal Pradesh,North,./pics/hidimba.jpg
25,Tara Devi Temple,Himachal Pradesh,North,./pics/taradevi.jpg
26,Vaishno Devi Temple,Jammu and Kashmir,North,./pics/vaishno.jpg
27,Ranbireshwar Temple,Jammu and Kashmir,North,./pics/ranbir.jpg
28,Raghunath Temple,Jammu and Kashmir,North,./pics/raghu.jpg
29,Baidyanath Temple,Jharkhand,North,./pics/baidhya.jpg
30,Sun Temple,Jharkhand,North,./pics/sun.jpg
31,Jagannath Temple,Jharkhand,North,./pics/jagan.jpg
32,Udipi Sri Krishna  Temple,Karnataka,South,./pics/udipi.jpg
33,Shri Kadri Manjunatha Temple,Karnataka,South,./pics/kadri.jpg
34,Mookambika Temple,Karnataka,South,./pics/kollur.jpg
35,Sree Padmanabhaswamy Temple,Kerala,South,./pics/padmanabha.jpg
36,Sabarimala Temple,Kerala,South,./pics/sabari.jpg
37,Vadakkunathan Temple,Kerala,South,./pics/vada.jpg
38,Mahakaleshwar Jyotirlinga,Madhya Pradesh,Central,./pics/mahakal.jpg
39,Saas Bahu Temple,Madhya Pradesh,central,./pics/bahu.jpg
40,Trimbakeshwar  Temple,Maharashtra,West,./pics/trimbak.jpg
41,Shirdi,Maharashtra,West,./pics/shiridi.jpg
42,Sun Temple,Odisha,East,./pics/konark.jpg
43,Poori Jagannath Temple,Odisha,East,./pics/puri.jpg
44,Golden Temple,Punjab,North,./pics/golden.jpg
45,Shri Durgiana Temple,Punjab,North,./pics/durg.jpg
46,Kashi Vishwanath Temple ,Uttar Pradesh,North,./pics/kashi.jpg
47,Ram Janmabhoomi temple,Uttar Pradesh,North,./pics/ram.jpg
48,Birla Mandir,Rajasthan,North,./pics/birla.jpg
49,Badrinath Temple,Uttarakhand,North,./pics/badri.jpg
50,Kedarnath Temple.,Uttarakhand,North,./pics/kedar.jpg
51,Lotus Temple,Delhi,North,./pics/lotus.jpg
52,Meenakshi Amman Temple,Tamil Nadu,South,./pics/amman.jpg
53,Brihadeeswarar Temple,Tamil Nadu,South,./pics/briha.jpg
54,Ramanathaswamy Temple,Tamil Nadu,South,./pics/ramanath.jpg
55,Jogulamba Gadwal,Telangana,South,./pics/jogulamba.jpg
56,Raja Rajeswara Temple,Telangana,South,./pics/raja.jpg
57,Sita Ramachandraswamy Temple,Telangana,South,./pics/bhadrachalam.jpg
58,Kalighat Kali Temple,West Bengal,East,./pics/kali.jpg
59,Mira Mandir,West Bengal,East,./pics/mira.jpg
60,Golden Pagoda Temple,Meghalaya,East,./pics/pagoda.jpg
